,test folders,class,precision,recall,f1-score,support
0,"1,2,3",air_conditioner,0.4264705882352941,0.145,0.21641791044776118,200
1,"1,2,3",car_horn,0.5806451612903226,0.6923076923076923,0.631578947368421,78
2,"1,2,3",children_playing,0.528957528957529,0.685,0.5969498910675383,200
3,"1,2,3",dog_bark,0.6099585062240664,0.735,0.6666666666666667,200
4,"1,2,3",drilling,0.5263157894736842,0.6,0.5607476635514018,200
5,"1,2,3",engine_idling,0.59375,0.3877551020408163,0.46913580246913583,196
6,"1,2,3",gun_shot,0.7619047619047619,0.6857142857142857,0.7218045112781954,70
7,"1,2,3",jackhammer,0.3870967741935484,0.25,0.3037974683544304,240
8,"1,2,3",siren,0.6126126126126126,0.768361581920904,0.681704260651629,177
9,"1,2,3",street_music,0.40460526315789475,0.615,0.48809523809523814,200
10,"4,5,6",air_conditioner,0.2682926829268293,0.11,0.15602836879432624,200
11,"4,5,6",car_horn,0.9145299145299145,0.6815286624203821,0.7810218978102189,157
12,"4,5,6",children_playing,0.5491329479768786,0.475,0.5093833780160858,200
13,"4,5,6",dog_bark,0.4259818731117825,0.705,0.5310734463276836,200
14,"4,5,6",drilling,0.4959349593495935,0.61,0.5470852017937219,200
15,"4,5,6",engine_idling,0.636986301369863,0.43457943925233644,0.5166666666666666,214
16,"4,5,6",gun_shot,0.7088607594936709,0.717948717948718,0.713375796178344,78
17,"4,5,6",jackhammer,0.5048076923076923,0.4375,0.46874999999999994,240
18,"4,5,6",siren,0.7722772277227723,0.6582278481012658,0.7107061503416857,237
19,"4,5,6",street_music,0.3567251461988304,0.61,0.4501845018450184,200
20,"7,8,9",air_conditioner,0.44545454545454544,0.245,0.3161290322580645,200
21,"7,8,9",car_horn,0.5795454545454546,0.8793103448275862,0.6986301369863014,58
22,"7,8,9",children_playing,0.5095057034220533,0.67,0.5788336933045356,200
23,"7,8,9",dog_bark,0.614406779661017,0.725,0.6651376146788991,200
24,"7,8,9",drilling,0.6455026455026455,0.61,0.6272493573264781,200
25,"7,8,9",engine_idling,0.5405405405405406,0.5154639175257731,0.5277044854881267,194
26,"7,8,9",gun_shot,0.9473684210526315,0.6666666666666666,0.782608695652174,81
27,"7,8,9",jackhammer,0.7175572519083969,0.6103896103896104,0.6596491228070176,154
28,"7,8,9",siren,0.6046511627906976,0.6624203821656051,0.6322188449848023,157
29,"7,8,9",street_music,0.6103286384976526,0.65,0.6295399515738499,200
30,"10,1,2",air_conditioner,0.43820224719101125,0.195,0.26989619377162627,200
31,"10,1,2",car_horn,0.6707317073170732,0.7971014492753623,0.728476821192053,69
32,"10,1,2",children_playing,0.5464684014869888,0.735,0.626865671641791,200
33,"10,1,2",dog_bark,0.5481171548117155,0.655,0.5968109339407744,200
34,"10,1,2",drilling,0.44715447154471544,0.55,0.49327354260089684,200
35,"10,1,2",engine_idling,0.6158536585365854,0.5343915343915344,0.5722379603399433,189
36,"10,1,2",gun_shot,0.8055555555555556,0.43283582089552236,0.5631067961165048,67
37,"10,1,2",jackhammer,0.5887096774193549,0.33796296296296297,0.4294117647058824,216
38,"10,1,2",siren,0.6265060240963856,0.6153846153846154,0.6208955223880597,169
39,"10,1,2",street_music,0.43728813559322033,0.645,0.5212121212121211,200
